iteration,crudeOil,HVC,CHP,LTH,MTH,HTH,DH,SpaceHeating,rawBiogas,syngas,coal
141,-318.4864515,-349.6642967,-0.319922825,-0.082964094,-0.001382154,-0.139508466,-0.036031933,-0.000565652,-0.166605732,-0.279065209,-0.028147577
142,-158.4716715,-408.351092,-0.281573431,-0.074773949,-0.001134444,-0.14514081,-0.030829118,-0.000512045,-0.171293721,-188.4078635,-0.034527315
143,-182.4276609,-363.6607441,-0.392820637,-0.098167203,-0.00171423,-0.161273514,-0.040700477,-0.000821967,-0.184612157,-127.0860071,-0.034639124
144,-194.5103549,-469.4482871,-0.236109451,-0.056720159,-0.001048105,-0.11148724,-0.022468749,-0.000293839,-0.132676644,-172.9047895,-0.015278042
145,-294.5168379,-558.7536583,-0.3083081,-0.072673055,-0.001158357,-0.122797517,-0.030695625,-0.000491771,-0.150996244,-0.444262382,-0.024250709
146,-200.108522,-520.3750375,-0.329308369,-0.087792047,-0.001199317,-0.137856785,-0.036051705,-0.00038612,-0.154859957,-157.6541159,-0.028368687
147,-277.6578296,-473.9731011,-0.276277133,-0.070820381,-0.001095232,-0.122624436,-0.030510691,-0.000358534,-0.142781801,-73.03972834,-0.0261875
148,-330.1453404,-580.4466234,-0.306583052,-0.069886664,-0.001144009,-0.126271938,-0.029706507,-0.000460675,-0.15655579,-22.60883413,-0.026909937
149,-397.126349,-561.7198385,-0.356113718,-0.089795871,-0.001468285,-0.141646926,-0.038764619,-0.00058522,-0.189841359,-0.639159993,-0.028530034
150,-221.6634431,-519.1042085,-0.342058343,-0.08135165,-0.001284043,-0.136602712,-0.035459932,-0.000544626,-0.159020413,-172.1263667,-0.041978833
151,-378.0475991,-409.9935868,-0.386400383,-0.101981898,-0.001585994,-0.154411645,-0.044343112,-0.000667788,-0.173499083,-3.077859634,-0.047539308
152,-137.177995,-509.8384321,-0.33882816,-0.084079651,-0.001600537,-0.13883044,-0.037753545,-0.000574747,-0.159162976,-170.9238127,-0.03929075
153,-394.4317131,-480.5330156,-0.312054471,-0.074437588,-0.001383727,-0.125270074,-0.032027476,-0.000612934,-0.141563101,-0.367653783,-0.032909725
154,-347.6287786,-351.7810062,-0.355934514,-0.081471263,-0.001453768,-0.137589001,-0.034364848,-0.000600165,-0.191740221,-0.34338281,-0.025198882
155,-185.3797283,-441.5140593,-0.277235874,-0.063873719,-0.00094762,-0.104765386,-0.027061358,-0.000490859,-0.124843904,-139.1101498,-0.027534236
156,-127.1662651,-515.8970849,-0.398034844,-0.098599381,-0.001609524,-0.176723559,-0.041324176,-0.000550307,-0.212588587,-218.5505469,-0.034731182
157,-214.2593721,-338.8209159,-0.256282302,-0.066990701,-0.001016034,-0.094202615,-0.028288363,-0.00040023,-0.136840153,-216.1630308,-0.019398367
158,-405.9003124,-406.1248028,-0.260245372,-0.064089694,-0.001232875,-0.098019148,-0.028691862,-0.000563182,-0.117061184,-0.246862044,-0.028505312
159,-341.6981244,-558.1288158,-0.240802733,-0.058224932,-0.000887436,-0.092572203,-0.02487942,-0.000393753,-0.13227017,-0.390128147,-0.022207813
160,-197.2429309,-540.798421,-0.290982731,-0.076490513,-0.001264151,-0.125772158,-0.031852918,-0.000645338,-0.149072736,-139.6318067,-0.026612572
161,-130.9591656,-500.2250569,-0.278005921,-0.070655725,-0.001306523,-0.110344277,-0.030489811,-0.000527631,-0.147916348,-150.2464627,-0.026124914
162,-152.9725145,-492.4455621,-0.345984493,-0.089159355,-0.001465704,-0.136360329,-0.038915652,-0.000547732,-0.167295293,-214.5924134,-0.032001971
163,-145.7871567,-506.2710201,-0.254026173,-0.061757132,-0.000914614,-0.102012614,-0.025452103,-0.000487752,-0.114615476,-180.5274456,-0.022934257
164,-146.876071,-456.4043034,-0.251515955,-0.065191944,-0.001075642,-0.112519687,-0.027901522,-0.000508415,-0.136506007,-158.9384493,-0.023858805
